"region","year","Technology_detailed","value","Technology","Units","scenario","Trade","ReactorCost","FuelCost"
"USA",2021,"Nuclear - Legacy",811.546555555556,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2025,"Nuclear - Large - PWR",18.3333333333333,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2025,"Nuclear - Legacy",808.447666666667,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2030,"Nuclear - Large - PWR",31.0618055555556,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2030,"Nuclear - Legacy",808.315916666667,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - Large - PWR",52.9531666666667,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - Legacy",788.118833333333,"Nuclear - Legacy","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - SMR - BWR",3.42127777777778,"Nuclear - SMR - BWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - SMR - HTGR",2.87177777777778,"Nuclear - SMR - HTGR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - SMR - MSR",1.40336666666667,"Nuclear - SMR - MSR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - SMR - PWR modular",2.67621666666667,"Nuclear - SMR - PWR modular","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2035,"Nuclear - SMR - SFR",2.75758333333333,"Nuclear - SMR - SFR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
"USA",2040,"Nuclear - Large - PWR",89.9493611111111,"Nuclear - Large - PWR","TWh","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod."
