"Units","scenario","Trade","ReactorCost","FuelCost","region","Technology","year","value"
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2035,0.184440344755492
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2040,0.294501932768917
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2045,0.369970350853234
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2050,0.635182609250305
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2055,0.511520698386374
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2060,0.438075888404504
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2065,0.465003948403888
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2070,0.4782073183264
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2075,0.46460188449399
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2080,0.583026742565429
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2085,0.445374370565542
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2090,0.384086882876193
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2095,0.433830366101678
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2100,0.344929946837611
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2035,0.364624263780093
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2040,0.644457337748131
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2045,0.93162296708991
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2050,1.8794273028926
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2055,1.83305366040346
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2060,1.74931533286394
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2065,1.98241018096692
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2070,2.14566857231331
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2075,2.17611980250621
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2080,2.82473747952541
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2085,2.22339638513198
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2090,1.94774068704136
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2095,2.22318853853449
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2100,1.91075421465197
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2035,0.361114722871658
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2040,0.60029504676344
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2045,0.835563765836889
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2050,1.54100193236004
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2055,1.32511064935093
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2060,1.17405728279485
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2065,1.27457326026946
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2070,1.33684546380593
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2075,1.32061639259537
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2080,1.68035455767382
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2085,1.30404318193651
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2090,1.13741835717504
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2095,1.29653685317798
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2100,1.0218760928983
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2035,0.430426452152623
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2040,0.891920859648075
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2045,1.4024363982597
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2050,3.0126478402626
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2055,3.11989668456737
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2060,3.07396940116465
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2065,3.5517916921875
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2070,3.90185987950076
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2075,4.00309139444214
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2080,5.24253857973581
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2085,4.15979409966442
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2090,3.66034894786008
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2095,4.19042591788465
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2100,3.64303975580682
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2035,0.354766883345041
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2040,0.5654620014169
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2045,0.657544858747452
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2050,1.13484582961595
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2055,0.921077307758252
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2060,0.794008075623996
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2065,0.84907038735246
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2070,0.880615367673135
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2075,0.862086354605104
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2080,1.08967837885651
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2085,0.841066589688464
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2090,0.731834684404363
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2095,0.833079828630821
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2100,0.647299043687583
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2030,1.54690341280024
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2035,2.87222531606993
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2040,6.17461131323341
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2045,7.55140761893391
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2050,12.7891759488913
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2055,10.2778098065977
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2060,8.85406061379213
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2065,9.46039343384659
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2070,9.79366352729714
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2075,9.56734924852211
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2080,12.0618491505275
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2085,9.26208733591363
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2090,8.01439443314577
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2095,9.07373061609002
"GW","Current Trade","Current","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2100,7.17687486489971
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2035,0.185414157174551
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2040,0.265137978793378
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2045,0.301343152415477
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2050,0.547484974394662
