"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"1","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2030,"Copper","installation_demand","kt",0.312263957818998
"2","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2030,"Zirconium","installation_demand","kt",0.00780659894547495
"3","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2035,"Copper","installation_demand","kt",0.538159817542034
"4","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2035,"Zirconium","installation_demand","kt",0.0134539954385508
"5","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2040,"Copper","installation_demand","kt",0.91643994350934
"6","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2040,"Zirconium","installation_demand","kt",0.0229109985877335
"7","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2045,"Copper","installation_demand","kt",0.99615763194988
"8","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2045,"Zirconium","installation_demand","kt",0.024903940798747
"9","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2050,"Copper","installation_demand","kt",1.77952805056792
"10","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2050,"Zirconium","installation_demand","kt",0.044488201264198
"11","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2055,"Copper","installation_demand","kt",1.68966335938435
"12","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2055,"Zirconium","installation_demand","kt",0.0422415839846087
"13","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2060,"Copper","installation_demand","kt",1.59070793505155
"14","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2060,"Zirconium","installation_demand","kt",0.0397676983762888
"15","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2065,"Copper","installation_demand","kt",1.75383684818966
"16","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2065,"Zirconium","installation_demand","kt",0.0438459212047415
"17","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2070,"Copper","installation_demand","kt",1.88469161425525
"18","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2070,"Zirconium","installation_demand","kt",0.0471172903563813
"19","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2075,"Copper","installation_demand","kt",1.9057556743484
"20","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2075,"Zirconium","installation_demand","kt",0.0476438918587101
"21","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2080,"Copper","installation_demand","kt",2.4764888017705
"22","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2080,"Zirconium","installation_demand","kt",0.0619122200442625
"23","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2085,"Copper","installation_demand","kt",1.90555123507218
"24","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2085,"Zirconium","installation_demand","kt",0.0476387808768046
"25","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2090,"Copper","installation_demand","kt",1.6349894822807
"26","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2090,"Zirconium","installation_demand","kt",0.0408747370570176
"27","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2095,"Copper","installation_demand","kt",1.84447159398033
"28","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2095,"Zirconium","installation_demand","kt",0.0461117898495082
"29","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2100,"Copper","installation_demand","kt",1.83699593111323
"30","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - Large - PWR",2100,"Zirconium","installation_demand","kt",0.0459248982778308
"31","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2035,"Copper","installation_demand","kt",0.123381842684795
"32","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2035,"Zirconium","installation_demand","kt",0.00302159614738272
